# instead of space use tab
# name tab value

Coco	0496
Snake	0497
Gaston	0498
Gabi	0499
Pippy	049A
Tiffany	049B
Genji	049C
Ruby	049D
Doc	049E
Claude	049F
Francine	04A0
Chrissy	04A1
Hopkins	04A2
OHare	04A3
Carmen	04A4
Bonbon	04A5
Cole	04A6
Mira	04A7
Toby	04A8
Tank	04B2
Rhonda	04B3
Spike	04B4
Hornsby	04B6
Merengue	04B9
Renée	04BA
Vesta	04C5
Baabara	04C6
Eunice	04C7
Stella	04C8
Cashmere	04C9
Willow	04CC
Curlos	04CD
Wendy	04CE
Timbra	04CF
Frita	04D0
Muffy	04D1
Pietro	04D2
Étoile	04D3
Peanut	04DD
Blaire	04DE
Filbert	04DF
Pecan	04E0
Nibbles	04E1
Agent S	04E2
Caroline	04E3
Sally	04E4
Static	04E5
Mint	04E6
Ricky	04E7
Cally	04E8
Tasha	04EA
Sylvana	04EB
Poppy	04EC
Sheldon	04ED
Marshal	04EE
Hazel	04EF
Rolf	04FA
Rowan	04FB
Tybalt	04FC
Bangle	04FD
Leonardo	04FE
Claudia	04FF
Bianca	0500
Chief	050B
Lobo	050C
Wolfgang	050D
Whitney	050E
Dobie	050F
Freya	0510
Fang	0511
Vivian	0513
Skye	0514
Kyle	0515
Fox	0580
Falco	0581
Samus	05c0
Captain Falcon	0600
Olimar	0640
Little Mac	06c0
Wii Fit Trainer	0700
Pit	0740
Dark Pit	0741
Palutena	0742
Mr. G&W	0780
R.O.B.	0781
Duck Hunt	0782
Mii	07c0
Inkling	0800
Callie	0801
Marie	0802
Mario	09C0
Luigi	09C1
Peach	09C2
Daisy	09C3
Yoshi	09C4
Wario	09C5
Waluigi	09C6
Donkey Kong	09C7
Diddy Kong	09C8
Bowser	09C9
Bowser Jr.	09CA
Boo	09CB
Baby Mario	09CC
Baby Luigi	09CD
Birdo	09CE
Rosalina	09CF
Metal Mario	09D0
Pink Gold Peach	09D1
Charizard	1906
Pikachu	1919
Jigglypuff	1927
Mewtwo	1996
Lucario	1ac0
Greninja	1b92
Shadow Mewtwo	1d00
Kirby	1f00
Meta Knight	1f01
King Dedede	1f02
Waddle Dee	1f03
Qbby	1f40
Marth	2100
Ike	2101
Lucina	2102
Robin	2103
Roy	2104
Alm	2106
Celica	2107
Shulk	2240
Ness	2280
Lucas	2281
Chibi-Robo	22c0
Sonic	3200
PAC-MAN	3340
Mega Man	3480
Ryu	34C0
One-Eyed Rathalos	3500
Nabiru	3501
Rathian	3502
Barioth	3503
Qurupeco	3504
Shovel Knight	35C0
